Brand,Usage_Type,CPU_Brand,GPU_Brand,GPU_Model,CPU_Cores,CPU_Frequency_GHz,RAM_GB,Storage_GB,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio,Screen_Size,Price_CNY
Acer,Student,Intel,AMD,RTX 3050,2,1.08,4,1024,911,1500,2411,1758.15,1.37,14.1,12747
MSI,Student,AMD,AMD,Iris Xe,6,2.4,64,1024,1452,900,2352,1970.69,1.19,12.8,14288
HP,Student,Apple,Intel,RTX 3070,2,1.16,32,128,442,3000,3442,2563.04,1.34,13.9,18582
HP,Student,Apple,NVIDIA,RX 6600,2,1.21,64,1024,688,2000,2688,2280.32,1.18,14.2,16532
HP,Student,Intel,NVIDIA,RTX 3060,4,2.76,16,1024,972,2200,3172,2492.94,1.27,14.0,18074
Apple,Student,Intel,Intel,RX 6700,2,1.66,8,1024,446,2800,3246,2566.5,1.26,14.7,18607
Asus,Student,Apple,Intel,RX 6600,2,3.87,8,1024,666,2000,2666,2027.56,1.31,14.4,14700
Dell,Student,Apple,AMD,Iris Xe,8,2.99,16,128,1960,900,2860,1998.76,1.43,15.3,14491
Asus,Student,Intel,AMD,RX 6600,4,3.51,4,2048,1456,2000,3456,2467.96,1.4,13.2,17893
Acer,Student,Intel,AMD,RTX 3050,6,1.5,16,2048,1476,1500,2976,2195.84,1.36,14.6,15920
HP,Student,Intel,Intel,RTX 3060,2,2.35,32,128,574,2200,2774,2053.58,1.35,12.8,14888
Acer,Student,Apple,NVIDIA,RTX 3060,2,3.58,16,512,413,2200,2613,2013.1,1.3,16.1,14595
Apple,Student,Intel,Intel,RX 6600,6,3.23,64,128,1368,2000,3368,2505.72,1.34,13.3,18166
Asus,Student,AMD,Intel,Iris Xe,6,1.93,32,256,1289,900,2189,1743.94,1.26,13.6,12644
Acer,Student,AMD,NVIDIA,RTX 3060,2,2.37,4,2048,768,2200,2968,2413.2,1.23,14.0,17496
Asus,Student,Apple,NVIDIA,RTX 3060,2,1.06,4,512,734,2200,2934,2267.23,1.29,13.2,16437
Apple,Student,Intel,AMD,RTX 3050,2,3.09,4,512,630,1500,2130,1510.2,1.41,12.7,10949
HP,Student,Apple,AMD,RTX 3050,4,2.94,8,512,1112,1500,2612,1791.69,1.46,14.0,12990
MSI,Student,AMD,Intel,RX 6700,2,3.96,32,1024,646,2800,3446,2813.89,1.22,13.3,20401
HP,Student,Apple,NVIDIA,RX 6600,2,3.21,64,256,918,2000,2918,2404.49,1.21,14.5,17433
HP,Student,Intel,AMD,RX 6600,6,2.06,16,2048,1398,2000,3398,2644.04,1.29,14.7,19169
Lenovo,Student,Intel,AMD,Iris Xe,4,3.95,64,2048,1328,900,2228,1941.24,1.15,14.4,14074
Apple,Student,Apple,AMD,Iris Xe,8,3.21,16,256,1992,900,2892,1958.96,1.48,14.7,14202
Acer,Student,AMD,NVIDIA,RX 6700,2,3.23,4,256,650,2800,3450,2383.23,1.45,13.4,17278
Lenovo,Student,Apple,Intel,Iris Xe,4,1.31,8,1024,1648,900,2548,1818.73,1.4,15.6,13186
Acer,Student,Apple,NVIDIA,RX 6600,2,1.63,16,512,1086,2000,3086,2318.54,1.33,14.1,16809
Acer,Student,AMD,AMD,RX 6600,4,1.36,4,128,840,2000,2840,2025.38,1.4,12.6,14684
Asus,Student,Intel,NVIDIA,RTX 3050,2,2.97,4,512,505,1500,2005,1449.99,1.38,15.8,10512
MSI,Student,Apple,AMD,Iris Xe,4,1.68,32,512,1907,900,2807,1880.56,1.49,11.8,13634
Apple,Student,Intel,NVIDIA,RTX 3050,2,1.02,64,512,822,1500,2322,2030.25,1.14,13.8,14719
Asus,Student,Intel,AMD,RX 6600,4,1.16,64,2048,1276,2000,3276,2724.01,1.2,13.3,19749
Acer,Student,AMD,Intel,RTX 3050,4,1.48,16,1024,1144,1500,2644,1928.31,1.37,13.7,13980
Asus,Student,Intel,Intel,Iris Xe,8,1.18,64,2048,2200,900,3100,2431.05,1.28,14.4,17625
Asus,Student,AMD,Intel,Iris Xe,4,1.74,8,128,2132,900,3032,1823.94,1.66,15.9,13224
Acer,Student,Apple,NVIDIA,RTX 3050,2,3.69,16,2048,660,1500,2160,1933.71,1.12,13.7,14019
MSI,Student,Apple,Intel,Iris Xe,4,2.35,32,1024,1739,900,2639,1951.19,1.35,13.7,14146
HP,Student,AMD,Intel,Iris Xe,4,1.3,16,256,1528,900,2428,1762.2,1.38,16.3,12776
Apple,Student,Intel,AMD,RX 6600,2,2.82,4,2048,803,2000,2803,2133.86,1.31,13.6,15470
MSI,Student,Apple,Intel,RTX 3060,4,1.38,32,1024,1200,2200,3400,2680.24,1.27,13.9,19432
MSI,Student,Apple,Intel,RTX 3050,6,1.02,8,256,1710,1500,3210,2256.5,1.42,13.5,16360
Dell,Student,Intel,Intel,Iris Xe,8,1.62,8,512,2488,900,3388,2252.77,1.5,14.5,16333
MSI,Student,AMD,AMD,RTX 3050,2,1.27,4,128,838,1500,2338,1573.09,1.49,14.1,11405
HP,Student,Apple,NVIDIA,RX 6600,2,2.32,64,512,798,2000,2798,2412.97,1.16,14.3,17494
Dell,Student,Apple,Intel,RTX 3050,4,3.4,16,128,1348,1500,2848,2017.42,1.41,12.9,14626
MSI,Student,Apple,NVIDIA,Iris Xe,6,3.3,16,256,2568,900,3468,2305.8,1.5,15.9,16717
Dell,Student,AMD,NVIDIA,RTX 3070,2,3.88,32,128,404,3000,3404,2672.52,1.27,14.5,19376
Dell,Student,AMD,AMD,RTX 3060,2,3.64,16,512,636,2200,2836,2126.29,1.33,15.8,15416
HP,Student,Apple,NVIDIA,RTX 3050,6,2.44,4,256,1386,1500,2886,1853.16,1.56,14.3,13435
Acer,Student,Intel,NVIDIA,RTX 3050,2,3.86,32,256,652,1500,2152,1682.05,1.28,13.7,12195
HP,Student,AMD,Intel,RTX 3050,6,1.43,32,2048,1374,1500,2874,2239.28,1.28,13.5,16235
HP,Student,Intel,AMD,RX 6600,2,1.31,64,2048,1000,2000,3000,2504.56,1.2,14.2,18158
Lenovo,Student,AMD,AMD,RTX 3050,6,3.57,64,1024,1788,1500,3288,2567.52,1.28,14.3,18615
Acer,Student,AMD,Intel,RTX 3050,2,1.29,8,2048,606,1500,2106,1851.37,1.14,13.0,13422
Lenovo,Student,Apple,Intel,RTX 3060,2,2.27,16,256,930,2200,3130,2162.77,1.45,14.0,15680
Dell,Student,Intel,Intel,RTX 3050,2,1.91,8,128,1032,1500,2532,1911.09,1.32,13.9,13855
MSI,Student,Apple,NVIDIA,RTX 3060,4,2.37,64,2048,972,2200,3172,2676.59,1.19,14.5,19405
Acer,Student,Apple,Intel,RTX 3050,4,2.3,32,2048,1080,1500,2580,2254.07,1.14,14.1,16342
Lenovo,Student,Apple,Intel,RTX 3060,2,1.58,64,512,628,2200,2828,2327.96,1.21,15.1,16878
Apple,Student,Apple,Intel,RTX 3050,4,2.42,8,128,1772,1500,3272,2055.98,1.59,12.6,14906
Dell,Student,AMD,Intel,RTX 3060,2,3.92,8,2048,624,2200,2824,2193.36,1.29,12.8,15902
Apple,Student,Intel,AMD,RTX 3060,2,1.93,32,512,796,2200,2996,2399.26,1.25,13.1,17395
Apple,Student,Intel,AMD,RX 6600,2,3.05,64,512,466,2000,2466,2285.34,1.08,12.1,16569
Apple,Student,Apple,Intel,Iris Xe,4,2.39,64,256,1960,900,2860,2190.16,1.31,15.1,15879
Dell,Student,Apple,AMD,RX 6600,4,3.56,16,128,852,2000,2852,2175.25,1.31,14.3,15771
Dell,Student,Apple,AMD,Iris Xe,4,2.3,4,256,1580,900,2480,1541.08,1.61,14.0,11173
Asus,Student,Intel,Intel,Iris Xe,8,2.79,16,512,2120,900,3020,1985.52,1.52,14.8,14395
Asus,Student,Intel,AMD,RTX 3050,4,3.84,32,2048,1212,1500,2712,2292.01,1.18,14.3,16617
Dell,Student,Apple,NVIDIA,Iris Xe,4,2.09,4,512,1700,900,2600,1683.76,1.54,13.4,12207
Apple,Student,Apple,AMD,RX 6700,2,2.42,4,2048,672,2800,3472,2626.89,1.32,12.8,19045
Apple,Student,Apple,Intel,RTX 3060,4,1.01,16,128,1224,2200,3424,2386.85,1.43,16.4,17305
Apple,Student,Intel,AMD,RX 6600,2,1.37,16,2048,640,2000,2640,2181.85,1.21,14.9,15818
MSI,Student,AMD,AMD,RTX 3060,2,2.64,8,512,552,2200,2752,2095.81,1.31,14.2,15195
Acer,Student,Intel,Intel,Iris Xe,4,1.86,16,2048,1584,900,2484,1998.98,1.24,13.0,14493
Lenovo,Student,Apple,Intel,RTX 3060,4,1.06,64,256,1028,2200,3228,2553.84,1.26,13.8,18515
Dell,Student,Apple,Intel,RTX 3060,4,1.76,8,2048,972,2200,3172,2504.11,1.27,14.9,18155
MSI,Student,AMD,AMD,RTX 3050,4,3.71,64,512,1184,1500,2684,2088.32,1.29,14.6,15140
Dell,Student,AMD,Intel,RTX 3050,4,1.91,4,256,1644,1500,3144,2174.41,1.45,12.1,15764
Lenovo,Student,Apple,NVIDIA,Iris Xe,4,1.97,8,2048,2092,900,2992,2112.31,1.42,15.7,15314
Acer,Student,Intel,AMD,RX 6600,2,2.96,16,512,1088,2000,3088,2240.62,1.38,14.8,16244
Dell,Student,Intel,Intel,RTX 3050,2,2.99,64,1024,706,1500,2206,1878.17,1.17,13.4,13617
Lenovo,Student,Apple,NVIDIA,RTX 3060,6,1.9,32,256,1205,2200,3405,2399.98,1.42,13.6,17400
Dell,Student,AMD,NVIDIA,RTX 3050,4,3.81,16,256,1032,1500,2532,1814.75,1.4,12.6,13157
MSI,Student,Apple,Intel,RTX 3060,2,1.33,4,2048,830,2200,3030,2437.98,1.24,13.1,17675
Lenovo,Student,Intel,AMD,Iris Xe,8,1.09,64,512,2352,900,3252,2378.51,1.37,11.7,17244
Asus,Student,Apple,NVIDIA,RTX 3050,2,3.89,4,128,505,1500,2005,1443.53,1.39,14.3,10466
Apple,Student,Intel,NVIDIA,RTX 3060,2,3.19,32,512,412,2200,2612,2064.72,1.27,12.7,14969
Dell,Student,Intel,Intel,RX 6700,2,3.53,4,128,438,2800,3238,2294.75,1.41,13.6,16637
Asus,Student,Intel,AMD,Iris Xe,4,3.58,8,2048,1476,900,2376,1891.03,1.26,14.5,13710
Dell,Student,Apple,NVIDIA,Iris Xe,12,2.9,16,512,2579,900,3479,2317.48,1.5,13.9,16802
Acer,Student,Apple,Intel,RTX 3050,2,2.38,16,128,1028,1500,2528,1775.81,1.42,15.7,12875
Lenovo,Student,Intel,NVIDIA,RTX 3060,2,1.3,32,512,1002,2200,3202,2381.85,1.34,14.7,17268
Lenovo,Student,Apple,AMD,Iris Xe,8,1.14,32,128,1744,900,2644,1870.69,1.41,12.3,13563
HP,Student,Intel,NVIDIA,RX 6600,2,2.81,32,512,1014,2000,3014,2180.93,1.38,14.9,15812
Acer,Student,Intel,NVIDIA,Iris Xe,6,1.83,4,1024,2556,900,3456,2259.16,1.53,13.4,16379
HP,Student,Intel,NVIDIA,RTX 3060,4,1.61,64,2048,1136,2200,3336,2727.88,1.22,13.4,19777
Apple,Student,AMD,AMD,Iris Xe,6,1.16,16,128,2592,900,3492,2174.46,1.61,15.0,15765
Apple,Student,Apple,AMD,Iris Xe,4,3.64,64,2048,2156,900,3056,2437.52,1.25,13.7,17672
Dell,Student,AMD,Intel,RTX 3050,6,1.06,8,256,1428,1500,2928,2044.02,1.43,16.2,14819
Lenovo,Student,Apple,NVIDIA,RX 6600,2,1.2,4,1024,518,2000,2518,1877.45,1.34,13.7,13612
HP,Student,AMD,AMD,Iris Xe,8,1.28,8,512,2536,900,3436,2174.74,1.58,16.5,15767
HP,Student,AMD,AMD,RTX 3050,4,1.16,4,1024,1939,1500,3439,2246.49,1.53,13.3,16287
Apple,Student,Intel,NVIDIA,RX 6600,2,2.37,8,2048,448,2000,2448,1921.39,1.27,13.1,13930
Apple,Student,Apple,NVIDIA,RTX 3050,4,2.79,16,128,903,1500,2403,1754.34,1.37,14.5,12719
Apple,Student,AMD,AMD,RTX 3060,4,2.55,64,128,1132,2200,3332,2613.27,1.28,13.4,18946
MSI,Student,Apple,NVIDIA,Iris Xe,6,2.86,8,256,1446,900,2346,1595.86,1.47,14.7,11570
MSI,Student,Apple,Intel,RX 6600,4,1.14,8,128,1412,2000,3412,2386.45,1.43,15.3,17302
HP,Student,Apple,NVIDIA,RTX 3050,2,1.25,32,256,818,1500,2318,1892.34,1.22,14.9,13719
Acer,Student,AMD,AMD,RTX 3060,2,2.24,32,512,572,2200,2772,2259.76,1.23,13.0,16383
HP,Student,AMD,Intel,RTX 3060,2,2.37,16,2048,918,2200,3118,2457.03,1.27,13.4,17813
Acer,Student,AMD,NVIDIA,RTX 3060,2,1.78,64,2048,966,2200,3166,2660.07,1.19,14.6,19286
Acer,Student,AMD,AMD,RX 6600,2,2.16,4,2048,401,2000,2401,2101.71,1.14,12.9,15237
MSI,Student,Intel,AMD,RX 6600,2,2.64,16,1024,853,2000,2853,2234.0,1.28,13.8,16196
Dell,Student,Apple,AMD,RTX 3060,2,3.92,64,2048,401,2200,2601,2341.16,1.11,12.7,16973
Asus,Student,Apple,NVIDIA,RTX 3060,4,2.78,32,256,1056,2200,3256,2317.56,1.4,13.7,16802
MSI,Student,Intel,AMD,RX 6700,2,2.45,64,256,658,2800,3458,2686.65,1.29,14.1,19478
Asus,Student,AMD,NVIDIA,RX 6600,2,3.26,8,512,614,2000,2614,2065.41,1.27,13.8,14974
MSI,Student,AMD,Intel,RX 6700,2,2.57,4,1024,404,2800,3204,2489.42,1.29,13.3,18048
Acer,Student,Apple,NVIDIA,RTX 3050,4,1.89,8,256,1892,1500,3392,2152.21,1.58,13.5,15604
Lenovo,Student,AMD,AMD,RTX 3060,2,1.4,8,256,948,2200,3148,2154.67,1.46,14.6,15621
Acer,Student,Apple,AMD,RX 6600,2,2.77,4,1024,898,2000,2898,2113.53,1.37,13.4,15323
Dell,Student,AMD,NVIDIA,RX 6600,4,1.05,32,1024,836,2000,2836,2322.12,1.22,13.6,16835
Apple,Student,AMD,NVIDIA,RTX 3060,2,1.86,32,512,876,2200,3076,2347.76,1.31,15.2,17021
Asus,Student,Intel,AMD,Iris Xe,6,3.59,32,1024,1914,900,2814,1909.34,1.47,12.9,13843
Apple,Student,Apple,Intel,RTX 3050,2,3.22,64,1024,686,1500,2186,2031.33,1.08,14.5,14727
MSI,Student,Apple,NVIDIA,RTX 3060,4,1.93,32,2048,992,2200,3192,2499.46,1.28,14.3,18121
Dell,Student,Apple,Intel,RTX 3060,2,3.68,8,1024,678,2200,2878,2228.43,1.29,14.1,16156
HP,Student,AMD,AMD,RTX 3050,4,2.43,16,128,1240,1500,2740,1979.19,1.38,14.4,14349
Acer,Student,AMD,Intel,Iris Xe,4,1.84,4,2048,1496,900,2396,1681.74,1.42,13.7,12193
Apple,Student,AMD,NVIDIA,RTX 3060,2,2.98,64,1024,432,2200,2632,2477.48,1.06,13.7,17962
Acer,Student,AMD,AMD,RTX 3050,4,2.01,4,2048,1384,1500,2884,2174.62,1.33,14.1,15766
HP,Student,Apple,AMD,Iris Xe,8,3.24,4,2048,1632,900,2532,1827.81,1.39,13.5,13252
Asus,Student,Intel,AMD,RTX 3060,2,1.24,8,1024,1003,2200,3203,2349.52,1.36,16.3,17034
MSI,Student,AMD,Intel,RX 6600,2,1.62,16,128,459,2000,2459,1794.12,1.37,11.7,13007
MSI,Student,Intel,NVIDIA,Iris Xe,4,1.45,16,256,1228,900,2128,1420.29,1.5,15.8,10297
Lenovo,Student,Apple,NVIDIA,RTX 3050,6,2.01,16,512,1770,1500,3270,2275.33,1.44,13.7,16496
Lenovo,Student,Apple,Intel,RTX 3070,2,1.17,8,256,434,3000,3434,2647.81,1.3,13.2,19197
Lenovo,Student,Intel,Intel,RTX 3050,4,3.81,8,2048,1292,1500,2792,2027.31,1.38,13.2,14698
Asus,Student,Apple,NVIDIA,RX 6600,2,2.75,64,256,924,2000,2924,2296.37,1.27,14.1,16649
Asus,Student,Intel,NVIDIA,RX 6600,6,1.24,32,1024,1416,2000,3416,2482.9,1.38,13.7,18001
Lenovo,Student,AMD,Intel,Iris Xe,4,2.34,8,512,1220,900,2120,1504.35,1.41,13.4,10907
MSI,Student,AMD,NVIDIA,RTX 3050,2,2.81,64,128,832,1500,2332,1868.79,1.25,15.7,13549
MSI,Student,Intel,Intel,RTX 3060,2,3.62,16,2048,404,2200,2604,2184.67,1.19,13.2,15839
MSI,Student,AMD,AMD,RX 6700,2,3.08,16,256,596,2800,3396,2568.69,1.32,15.3,18623
MSI,Student,Apple,Intel,RTX 3050,2,1.29,32,512,518,1500,2018,1738.24,1.16,14.7,12602
Acer,Student,Intel,Intel,Iris Xe,4,2.89,64,1024,1196,900,2096,1908.45,1.1,13.1,13836
Dell,Student,Apple,Intel,RX 6600,2,2.36,64,1024,720,2000,2720,2243.14,1.21,15.0,16263
MSI,Student,Intel,Intel,RX 6600,2,1.49,32,1024,988,2000,2988,2410.44,1.24,13.0,17476
Acer,Student,Apple,AMD,RTX 3050,2,3.79,8,256,608,1500,2108,1621.58,1.3,15.8,11756
Dell,Student,AMD,NVIDIA,RTX 3060,2,1.45,4,256,1066,2200,3266,2361.83,1.38,12.9,17123
Dell,Student,Apple,AMD,RX 6700,2,2.97,32,128,476,2800,3276,2428.57,1.35,14.0,17607
Acer,Student,AMD,Intel,RTX 3050,8,2.74,64,128,1864,1500,3364,2613.53,1.29,14.9,18948
Asus,Student,Apple,NVIDIA,RX 6600,2,1.82,4,256,1096,2000,3096,2057.71,1.5,13.0,14918
MSI,Student,Intel,Intel,RX 6600,2,2.44,64,256,910,2000,2910,2342.11,1.24,14.0,16980
MSI,Student,AMD,NVIDIA,RTX 3060,2,1.14,64,128,806,2200,3006,2517.06,1.19,13.8,18249
HP,Student,AMD,AMD,RTX 3050,2,2.09,32,512,728,1500,2228,1814.3,1.23,14.6,13154
Asus,Student,Intel,NVIDIA,RTX 3060,2,3.81,8,256,722,2200,2922,2208.36,1.32,14.9,16011
Asus,Student,Intel,NVIDIA,Iris Xe,6,1.3,4,1024,2292,900,3192,2123.01,1.5,14.3,15392
Apple,Student,Apple,AMD,RX 6600,4,3.48,8,256,1456,2000,3456,2329.89,1.48,15.0,16892
MSI,Student,Intel,NVIDIA,RX 6700,2,2.65,8,2048,562,2800,3362,2617.77,1.28,12.4,18979
HP,Student,Apple,AMD,RTX 3060,4,2.7,4,256,1124,2200,3324,2432.96,1.37,14.6,17639
MSI,Student,Intel,AMD,RTX 3050,4,1.92,64,2048,1040,1500,2540,2157.59,1.18,13.9,15643
HP,Student,AMD,AMD,Iris Xe,6,3.94,8,512,2190,900,3090,1874.54,1.65,13.8,13590
Lenovo,Student,AMD,NVIDIA,RX 6700,2,2.83,8,1024,580,2800,3380,2572.65,1.31,15.5,18652
Asus,Student,AMD,Intel,Iris Xe,6,1.9,16,2048,1572,900,2472,1751.57,1.41,13.2,12699
Dell,Student,Apple,Intel,RX 6600,2,1.09,32,1024,982,2000,2982,2233.22,1.34,14.7,16191
MSI,Student,Intel,Intel,RTX 3050,2,2.91,8,128,996,1500,2496,1686.28,1.48,14.3,12226
HP,Student,Apple,Intel,RX 6600,6,2.53,64,128,1386,2000,3386,2646.38,1.28,14.4,19186
Acer,Student,Apple,Intel,RX 6600,4,1.73,64,128,836,2000,2836,2254.72,1.26,12.2,16347
Asus,Student,AMD,AMD,Iris Xe,4,3.26,8,2048,1332,900,2232,1711.72,1.3,13.7,12410
Lenovo,Student,Intel,AMD,Iris Xe,6,3.22,32,1024,1728,900,2628,1877.05,1.4,13.9,13609
Apple,Student,Apple,Intel,RTX 3050,4,3.66,4,1024,1348,1500,2848,1982.71,1.44,13.7,14375
MSI,Student,Apple,Intel,RTX 3050,4,3.35,64,2048,1992,1500,3492,2688.62,1.3,13.5,19492
Dell,Student,Intel,AMD,Iris Xe,4,3.87,8,512,1596,900,2496,1608.43,1.55,14.7,11661
Apple,Student,Intel,AMD,RTX 3050,4,1.1,4,2048,1996,1500,3496,2517.17,1.39,14.0,18249
Acer,Student,AMD,NVIDIA,Iris Xe,6,1.21,64,2048,2346,900,3246,2530.12,1.28,12.3,18343
Dell,Student,Apple,AMD,RTX 3060,2,3.62,32,2048,736,2200,2936,2518.1,1.17,13.9,18256
Asus,Student,AMD,NVIDIA,RTX 3060,2,1.57,16,128,796,2200,2996,2317.6,1.29,13.4,16803
MSI,Student,Intel,NVIDIA,RTX 3050,2,3.6,64,1024,504,1500,2004,1847.72,1.08,15.6,13396
Asus,Student,Apple,AMD,Iris Xe,8,2.24,4,256,2536,900,3436,2039.3,1.68,11.3,14785
Acer,Student,Intel,Intel,RTX 3050,6,1.47,64,1024,1788,1500,3288,2465.62,1.33,14.6,17876
HP,Student,Apple,AMD,Iris Xe,4,3.55,16,1024,2140,900,3040,1984.0,1.53,14.4,14384
Lenovo,Student,AMD,AMD,RTX 3050,8,2.2,4,2048,1696,1500,3196,2197.54,1.45,13.6,15932
Acer,Student,Intel,AMD,RX 6600,6,3.56,4,256,1476,2000,3476,2394.43,1.45,14.6,17360
Acer,Student,Apple,AMD,RTX 3050,4,1.34,64,512,1796,1500,3296,2418.94,1.36,14.3,17537
MSI,Student,Intel,Intel,RX 6600,4,2.11,64,256,944,2000,2944,2421.74,1.22,13.8,17558
HP,Student,Apple,AMD,Iris Xe,4,1.53,4,512,1168,900,2068,1513.62,1.37,14.1,10974
Lenovo,Student,Intel,Intel,RTX 3050,4,2.92,64,1024,1839,1500,3339,2642.48,1.26,14.9,19158
Asus,Student,Apple,Intel,RX 6700,2,1.47,4,128,466,2800,3266,2336.53,1.4,13.9,16940
Dell,Student,Intel,AMD,RTX 3060,2,1.17,32,256,914,2200,3114,2299.76,1.35,14.5,16673
Asus,Student,Apple,NVIDIA,Iris Xe,4,1.16,64,128,1212,900,2112,1695.89,1.25,14.3,12295
Lenovo,Student,AMD,Intel,RTX 3050,4,1.26,16,128,1636,1500,3136,2055.25,1.53,13.8,14901
Asus,Student,Apple,Intel,RX 6600,4,3.42,4,512,1356,2000,3356,2369.48,1.42,14.3,17179
Dell,Student,Apple,Intel,RTX 3060,2,2.77,32,1024,786,2200,2986,2344.22,1.27,13.4,16996
Asus,Student,Intel,Intel,RTX 3050,4,3.01,64,128,1996,1500,3496,2614.11,1.34,13.7,18952
Acer,Student,Intel,Intel,RX 6700,2,1.98,8,128,494,2800,3294,2316.29,1.42,13.8,16793
MSI,Student,AMD,AMD,RX 6600,2,3.62,32,512,1066,2000,3066,2315.92,1.32,15.2,16790
Dell,Student,AMD,AMD,RTX 3050,2,2.21,4,512,501,1500,2001,1620.86,1.23,15.9,11751
Asus,Student,Apple,NVIDIA,Iris Xe,6,1.57,4,128,1974,900,2874,1713.32,1.68,15.1,12422
Asus,Student,Intel,NVIDIA,RTX 3050,2,3.52,8,2048,1044,1500,2544,2097.6,1.21,14.3,15208
Asus,Student,AMD,Intel,RTX 3060,2,2.77,16,2048,988,2200,3188,2503.12,1.27,14.5,18148
Acer,Student,Intel,Intel,RX 6600,4,1.51,32,1024,1352,2000,3352,2546.2,1.32,12.7,18460
Dell,Student,Intel,NVIDIA,RTX 3050,6,3.52,16,512,1344,1500,2844,1911.48,1.49,12.4,13858
MSI,Student,Apple,NVIDIA,Iris Xe,4,1.5,16,2048,1272,900,2172,1804.11,1.2,13.3,13080
Acer,Student,Intel,AMD,RX 6600,2,1.61,16,2048,800,2000,2800,2381.51,1.18,13.3,17266
Lenovo,Student,Intel,AMD,RTX 3060,2,3.03,4,512,626,2200,2826,1981.84,1.43,14.2,14368
Lenovo,Student,Apple,NVIDIA,Iris Xe,4,3.03,32,256,1436,900,2336,1688.05,1.38,14.2,12238
Asus,Student,AMD,Intel,RTX 3050,2,3.27,4,256,558,1500,2058,1510.58,1.36,14.2,10952
Acer,Student,Intel,NVIDIA,RX 6600,4,1.5,16,1024,1488,2000,3488,2394.84,1.46,15.2,17363
MSI,Student,Apple,AMD,RTX 3050,2,3.19,64,512,953,1500,2453,2082.48,1.18,15.0,15098
MSI,Student,AMD,AMD,RTX 3060,2,1.05,8,128,840,2200,3040,2183.74,1.39,15.3,15832
Acer,Student,AMD,NVIDIA,Iris Xe,6,2.52,8,256,1782,900,2682,1823.44,1.47,13.3,13220
Asus,Student,AMD,NVIDIA,RTX 3050,2,2.37,64,1024,682,1500,2182,2036.64,1.07,14.2,14766
MSI,Student,AMD,AMD,RTX 3060,2,1.64,4,2048,911,2200,3111,2496.49,1.25,15.2,18100
Apple,Student,AMD,AMD,RX 6600,4,1.15,8,256,900,2000,2900,2041.24,1.42,12.9,14799
Apple,Student,Intel,NVIDIA,RTX 3050,4,3.72,16,1024,1104,1500,2604,2042.66,1.27,14.6,14809
MSI,Student,Apple,AMD,RX 6600,4,1.12,4,128,1016,2000,3016,2199.72,1.37,13.0,15948
Asus,Student,AMD,NVIDIA,RTX 3050,6,3.06,8,1024,1554,1500,3054,2201.57,1.39,14.2,15961
Apple,Student,Intel,Intel,Iris Xe,4,1.2,64,256,1668,900,2568,1911.62,1.34,14.4,13859
Lenovo,Student,Apple,AMD,Iris Xe,6,2.64,4,512,2016,900,2916,1978.13,1.47,14.1,14341
MSI,Student,Apple,AMD,Iris Xe,6,1.99,4,1024,2106,900,3006,1859.13,1.62,13.8,13479
Acer,Student,Intel,NVIDIA,RTX 3050,4,3.56,8,128,1864,1500,3364,2102.84,1.6,13.1,15246
MSI,Student,AMD,AMD,Iris Xe,8,3.98,16,256,2232,900,3132,2150.52,1.46,14.8,15591
Asus,Student,Intel,Intel,Iris Xe,8,1.51,32,128,1704,900,2604,1716.55,1.52,13.8,12445
Dell,Student,Intel,NVIDIA,RX 6700,2,2.32,64,256,509,2800,3309,2708.55,1.22,13.5,19637
Acer,Student,AMD,AMD,RTX 3050,8,2.84,8,2048,1855,1500,3355,2297.92,1.46,13.6,16660
Asus,Student,Intel,AMD,RTX 3060,2,1.33,16,128,790,2200,2990,2211.15,1.35,13.4,16031
Apple,Student,Intel,Intel,RTX 3060,4,3.64,64,1024,1200,2200,3400,2833.58,1.2,14.2,20543
MSI,Student,Apple,Intel,RTX 3060,4,1.0,4,2048,1164,2200,3364,2522.85,1.33,12.9,18291
Apple,Student,Intel,Intel,Iris Xe,4,1.33,4,128,1752,900,2652,1704.65,1.56,15.1,12359
Apple,Student,AMD,NVIDIA,Iris Xe,6,3.24,32,128,1524,900,2424,1633.93,1.48,12.9,11846
Lenovo,Student,Apple,NVIDIA,RX 6600,2,2.68,32,256,1010,2000,3010,2189.8,1.37,12.8,15876
Lenovo,Student,Intel,NVIDIA,Iris Xe,4,1.55,64,512,2036,900,2936,2167.38,1.35,13.7,15714
Asus,Student,Apple,NVIDIA,RX 6700,2,1.94,16,256,684,2800,3484,2570.79,1.36,15.4,18638
Asus,Student,Intel,NVIDIA,RTX 3060,2,3.15,64,1024,1098,2200,3298,2801.25,1.18,13.4,20309
HP,Student,Intel,AMD,RTX 3060,2,2.37,4,128,726,2200,2926,2134.34,1.37,12.2,15474
Dell,Student,Intel,NVIDIA,RX 6600,2,2.98,16,256,836,2000,2836,2192.35,1.29,13.6,15895
Acer,Student,Apple,NVIDIA,RTX 3050,4,2.74,8,256,1388,1500,2888,2065.28,1.4,15.2,14973
HP,Student,Apple,Intel,RTX 3050,6,1.72,16,128,1320,1500,2820,1909.73,1.48,14.1,13846
Lenovo,Student,AMD,AMD,RTX 3050,2,2.34,8,1024,688,1500,2188,1788.72,1.22,13.1,12968
HP,Student,Apple,NVIDIA,RTX 3050,4,2.58,64,512,1855,1500,3355,2467.28,1.36,15.5,17888
